sentence	obj-1	obj-2	aspect	t5_few
Why are black Americans usually much lighter in skin tone than those from Africa today ?	black Americans	those from Africa	skin tone	'brains female', 'brains Objects: 'black Americans', 'African Americans' Aspect: skin tone  Objects: 'African Americans', 'black Americans' Aspect: skin tone Objects: 'Africa', 'Africa' Aspect: skin tone -' and the aspect of?? ?
Does going up stairs 2 at a time use a different amount of energy than going up 1 at a time ?	going up stairs 2 at a time	going up 1 at a time	energy	'brains female', 'brains Objects: '2 at a time', '2 at a time' Aspect: energy Objects: '2 at a time', '2 at a time' Aspect: energy Objects: '2 at a time', '2 at a time' Aspect: energy' and and
What is the difference between domestic violence and assualt ?	domestic violence	assualt	-	'brains female', 'brains Objects: 'domestic violence', 'assualt' Aspect: domestic violence Objects: 'domestic violence', 'assualt' Aspect: Aspect: domestic violence What are the objects and the aspect of comparison in the sentence''?'?? '
Is the American South really more racist than the rest of the US or is it a stereotype ?	American South	rest of the US	racist	'brains female', 'brains Objects: 'is the American South really more racist than the rest of the US or is it a stereotype' Aspect: stereotypes Aspect: Aspect: stereotypes What are the objects and the aspect of comparison in the sentence 'Why do we have speed limits?' Objects '? A? ?
How true is it that it is easier to get faster in running in your teenage years compared to your 20s ?	running teenage years	running 20s	easier	'brains female', 'brains Objects: 'It is true that it is easier to get faster in running in your teenage years compared to your 20s ', 'True' Aspect: true Compared to your 20s What are the objects and the aspect of comparison in the sentence 'How true is it that it is easier
Is anal sex better than vaginal ?	anal sex	sex vaginal	better	'brains female', 'brains Aspect: vaginal What are the objects and the aspect of comparison in the sentence 'Is anal sex better than vaginal?', 'Is anal sex better than vaginal'?', 'Is anal sex better than vaginal'? Aspect: better Aspect: better What are the objects and the
Why is bench pressing my body weight significantly easier than doing pushups ?	bench pressing	pushups	easier	'brains female', 'brains Objects: 'bench pressing', 'pushups' Aspect: bench press Aspect: bench press vs pushups What are the objects and the aspect of comparison in the sentence 'Why is it that doing pushups is easier than doing pushups?'
Is the Terran Empire from mirror Star Trek worse than the Empire from Star Wars ?	Terran mirror Star Trek	Star Wars	-	'brains female', 'brains male' Aspect: different from Objects: 'is the Terran Empire from mirror Star Trek worse than the Empire from Star Wars?' Aspect: worse  Aspect: worse Aspect: worse What are the objects and the aspect of comparison in the sentence 'Why do we have speed limits'????
What is the difference between a boyfriend T shirt and a men 's shirt . ( Besides price )	boyfriend T shirt	men 's shirt	-	'brains female', 'brains Objects: 'boyfriend T shirt','men's shirt' Aspect: price What are the objects and the aspect of comparison in the sentence 'What is the difference between a boyfriend T shirt and a men's shirt?' Objects: 'boyfriend T shirt','men's shirt' Aspect: price What are the
"Does it make any difference between using the term "" Native American "" or "" Indian "" ? ... Is it racist to wonder that ?"	Native American	Indian	using	'brains female', 'brains' Objects: 'Native American', 'Indian' Aspect: is it racist to wonder that?''' Aspect: racism What are the objects and the aspect of comparison in the sentence 'Why do we have speed limits?' Objects:'and and and  ? 
Do blind people report higher rates of being victims of crime than those with sight ?	blind people	people with sight	rates of being victims of crime	'brains female', 'brains Objects: 'yes', 'no' Aspect: crime rate Compared to those with sight?', 'yes' Aspect: crime rate Compared to those with sight Compared to those with sight Compared to those with sight Compared to those with sight Compared to those with sight Compared?  '' better
How is the Infrared in our remotes different from Infrared in the form of heat ?	remotes	form of heat	-	' Objects: 'Infrared in the form of heat', 'heat' Aspect: heat What are the objects and the aspect of comparison in the sentence 'How is the Infrared in our remotes different from Infrared in the form of heat?'?' Objects: 'infrared', 'heat' Aspect: heat, heat,?
Does doing 100 push-ups over the course of a day vs. all in one session end with the same result ?	100 push-ups the course of a day	100 push-ups in one session	result	'brains female', 'brains male' Aspect: results Aspect: results Aspect: results Aspect: results Aspect: results Aspect: results Aspect: results Aspect: results Aspect: results Aspect: results Aspect: results Aspect: results Aspect: results Aspect: results Aspect: results Aspect
"Is there really a difference between "" liquid "" and "" solid "" measuring cups for cooking / baking ?"	liquid measuring cups	solid measuring cups	cooking / baking	' Objects: 'liquid','solid' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between liquid and solid measuring cups?' Objects: 'liquid','solid' Aspect: difference Between liquid and solid What are the objects and the aspect of comparison in the sentence
What are the difference between how a laser printer and an ink printer function ?	laser printer	ink printer	function	'brains female', 'brains Objects: 'laser printer', 'ink printer' Aspect: function What are the objects and the aspect of comparison in the sentence 'What are the differences between' Objects: 'laser printer', 'ink printer' Aspect: difference BetweenObjects:,??  '
Is T-Mobile better than Verizon cost and service wise ?	T-Mobile	Verizon	cost and service	'brains female', 'brains Objects: 'T-Mobile', 'Verizon' Aspect: service wise What are the objects and the aspect of comparison in the sentence 'Is T-Mobile better than Verizon cost and service wise?' Objects: 'T-Mobile', 'Verizon' Aspect: service wise
Do deaf people appreciate / like silent cinema more than hearing people ?	deaf people silent cinema	silent cinema hearing people	appreciate / like	'brains female', 'brains Objects: 'No', 'No' Aspect: silent cinema More Objects: 'No', 'No' Aspect: Objects: 'No', 'No' Aspect: silent cinema More than hearing people What are the objects and the aspect of comparison' and and and? '?
Why is my couch more comfortable than my bed ?	couch	bed	comfortable	'brains female', 'brains Objects: 'couch', 'bed' Aspect: comfortable What are the objects and the aspect of comparison in the sentence 'Why is my couch more comfortable than my bed?'?'? Objects: 'couch', 'bed' Aspect: comfortable What are the objects and the aspect of comparison in the sentence 'Why do we have speed
What is the difference between DVD-R and DVD+R ?	DVD-R	DVD+R	-	' Objects: 'DVD-R', 'DVD+R' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between a DVD and a CD?'?' What are the objects and the aspect of comparison in the sentence 'What is the difference between a DVD and CD?'?
Why is it easier to get planning permission for brownfield sites rather than greenfield ?	brownfield sites	sites greenfield	planning permission	'brains female', 'brains Objects: 'brownfield', 'greenfield' Aspect: planning permission What are the objects and the aspect of comparison in the sentence 'Why is it easier to get planning permission for brownfield sites rather than greenfield?' Objects: 'greenfield', 'brownfield' Aspect: planning permission 'Why is it easier to get planning
Are yahoo maps or google maps better ?	yahoo maps	google maps	better	'brains female', 'brains Objects: 'yahoo maps', 'google maps' Aspect: better  Objects: 'both', 'Google' Aspect: better Objects: 'both', 'Google' Aspect: better What are the objects and the aspect of comparison''''?  '
do u like extroverts or introverts ?	extroverts	introverts	-	'brains female', 'brains Objects: 'introverts', 'extroverts' Aspect: introverts What are the objects and the aspect of comparison in the sentence 'Do you like people who are more introverted?' Objects: 'introverts', 'introverts' Aspect: introverts What are the objects and the aspect
What are the differences between Democracy vs Dictatorship ?	Democracy	Dictatorship	-	'brains female', 'brains Objects: 'Democratic vs Dictatorship', 'Democratic' Aspect: differences What are the objects and the aspect of comparison in the sentence 'What are the differences between Democracy and Dictatorship?'? Objects: 'Democratic', 'Democratic' Aspect: differences Between Democracy and Dictatorship
Is it cheaper to buy cosmetics from the airport than the city ?	airport	city	cheaper	'brains female', 'brains Objects: 'is it cheaper to buy cosmetics from the airport than the city' Aspect: cheaper What are the objects and the aspect of comparison in the sentence 'Is it cheaper to buy cosmetics from the airport than the city?'? Objects: 'is it cheaper to buy cosmetics from the airport
what place is the best virgin islands or Hawaii ?	virgin islands	Hawaii	best	'brains female', 'brains Objects: 'Virgin Islands', 'Hawaii' Aspect: best virgin islands What are the objects and the aspect of comparison in the sentence 'What is better, the Virgin Islands or Hawaii?' Objects: 'Virgin Islands', 'Hawaii' Aspect: best virgin islands
what is the difference between sterling silver and platinum besides the price ?	sterling silver	platinum	-	'brains female', 'brains Objects:'silver', 'platinum' Aspect: price What are the objects and the aspect of comparison in the sentence 'What is the difference between sterling silver and platinum besides the price?'? Objects:'silver', 'platinum' Aspect: price
are boules and petanque the same game ?	boules	petanque	-	'brains female', 'brains Objects: 'petanque', 'boules' Aspect: boules and petanque What are the objects and the aspect of comparison in the sentence 'are boules and petanque the same game?'? Objects: 'boules', 'petanque' Aspect: boules and petanque are not the same game 
is a family med graduate as efficient as a medicine one ?	family med graduate	medicine	efficient	' Objects: 'is a family med graduate','medicine' Aspect: efficient What are the objects and the aspect of comparison in the sentence 'How can you tell the difference between literal and symbolic dreams?'?'? Aspect: efficient 'is a family med graduate as efficient as a medicine one?'?
what is the difference between ATA and SATA hard disks	ATA hard disks	SATA hard disks	-	'' Objects: 'ATA', 'SATA' Aspect: different What are the objects and the aspect of comparison in the sentence 'What is the difference between ATA and SATA hard disks?' Objects: 'ATA', 'SATA' Aspect: different What are the objects and the aspect of comparison in the sentence
Who should be impeached , bush or clinton ? ?	bush	clinton	impeached	'brains female', 'brains Objects: 'bush', 'clinton' Aspect: bush Objects: 'bush', 'clinton' Aspect: bush Objects: 'bush', 'clinton' Aspect: bush What are the objects and the aspect of comparison' and and and? '?
Who would win cowboys or falcons for the superbowl ? ?	cowboys superbowl	falcons superbowl	win	', 'brains female' Aspect: different from Objects: 'cowboys', 'falcons' Aspect: cowboys What are the objects and the aspect of comparison in the sentence 'Who would win the Superbowl??', '', 'cowboys'? Aspect: better   ? 
Is light blue jeans nicer or dark blue ones ? ( suppose they're of the same design and cut ) ?	light blue jeans	jeans dark blue	nicer	' Objects: 'light blue jeans', 'dark blue jeans' Aspect: nicer Objects: 'light blue jeans', 'dark blue jeans' Aspect: nicer Objects: 'light blue jeans', 'dark blue jeans' Aspect: nicer What are the objects and the aspect of comparison''?'?? 
what are the best ' hold me in ' knickers or underware ?	knickers	underware	-	'brains female', 'brains Objects: 'knickers', 'underware' Aspect: knickers What are the objects and the aspect of comparison in the sentence 'What are the best'hold me in'knickers or underware?'? Objects: 'knickers', 'underware' Aspect: underware
Why is the ocean water denser than fresh water ?	ocean water	fresh water	denser	'brains female', 'brains Objects: 'ocean water', 'fresh water' Aspect: ocean water denser than fresh water What are the objects and the aspect of comparison in the sentence 'Why is the ocean water denser than fresh water?'?' Objects: 'ocean water', 'fresh water' Aspect: denser than fresh water
What is the difference between a transsexual and a hermaphrodite ?	transsexual	hermaphrodite	-	'brains female', 'brains Objects: 'transsexual', 'hermaphrodite' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between a transsexual and a hermaphrodite?'? Objects: 'transsexual', 'hermaphrodite' Aspect: difference Between a transsexual
why is american english different than british english when the british colonised this country ?	american english	british english	-	'brains female', 'brains Objects: 'american english', 'british english' Aspect: english vs american english vs american english?', 'american english' Aspect: english vs american english Objects: 'american english', 'english' Aspect: english vs american english Objects: 'america
Is that true , LCD monitor has lower radiation than tradition CRT monitor ?	LCD monitor	CRT monitor	radiation	'brains female', 'brains Objects: 'LCD monitor', 'traditional CRT monitor' Aspect: radiation' Objects: 'LCD monitor', 'traditional Aspect: radiation What are the objects and the aspect of comparison in the sentence 'Why do we have speed limits?'Object and and and? ? 
are cat lice and human lice the same ?	cat lice	human lice	-	'brains female', 'brains Objects: 'cat lice', 'human lice' Aspect: lice What are the objects and the aspect of comparison in the sentence 'are cat lice and human lice the same?'?'? Objects: 'cat lice', 'human lice' Aspect: human lice
What is the difference between the molar heat of reaction and heat of reaction ?	molar heat of reaction	heat of reaction	-	'brains female','Objects:'molar heat of reaction', 'heat of reaction' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between the molar heat of reaction and heat of reaction?'?','molar heat of reaction'?
What is the correct direction to sleep , N-S or E-W. Any links regarding this topic would be good . ?	direction to sleep N-S	direction to sleep E-W.	correct	' Objects: 'N-S', 'E-W' Aspect: N-S What are the objects and the aspect of comparison in the sentence 'What is the correct direction to sleep?' Objects: 'N-S', 'E-W' Aspect: sleep.?'?
what is the difference between white spirit and turps substitute ?	white spirit	turps substitute	-	'brains female', 'brains Objects: 'white spirit', 'turps substitute' Aspect: white spirit What are the objects and the aspect of comparison in the sentence 'What is the difference between white spirit and turps substitute?'? Objects: 'white spirit', 'turps substitute' Aspect: difference Between better   
Who do you prefer ? ? ? Billie Joe Armstrong or Davey Havok	Billie Joe Armstrong	Davey Havok	-	', 'brains female' Aspect: different from' Objects: 'Billie Joe Armstrong', 'Davey Havok' Aspect: Billie Joe Armstrong What are the objects and the aspect of comparison in the sentence 'Who is better????????????????'
What are the differences between the DNS and the AlterNic ?	DNS	AlterNic	-	' Objects: 'DNS', 'AlternNic' Aspect: DNS What are the objects and the aspect of comparison in the sentence 'What are the differences between the DNS and the AlterNic?'?' What are the objects and the aspect of comparison in the sentence 'What are the differences between the DNS and the AlterNic?'
Can someone tell me which console is going to be better ? Xbox 360 or Ps3 ?	Xbox 360	Ps3	better	'brains female', 'brains Objects: 'Xbox 360', 'Ps3' Aspect: better - Which is better?', 'PS3'? Aspect: better What are the objects and the aspect of comparison in the sentence 'What is the best console?' Objects: '360', 'PS3' Aspect: better What are the objects
what is the difference between trance and phunk music ?	trance music	phunk music	-	'brains female', 'brainsrance and phunk music Aspect: - What are the objects and the aspect of comparison in the sentence 'What is the difference between trance and phunk music?'  Aspect: phunk music Aspect: trance, phunk, and and and  ?'
Shall i invest in yahoo or google . Please don't answer me invest in both . ?	yahoo	google	invest	'brains female', 'brains Objects: 'yahoo', 'google' Aspect: invest in both.?', 'invest in google.?', 'invest in google.?', 'invest in yahoo'?, 'invest in google.?'
Is there a difference between a manufacturer 's external hard drive and the hard drives with enclosure ?	manufacturer 's external hard drive	hard drives with enclosure	-	' Objects: 'hard drives without enclosure', 'hard drives with enclosure' Aspect: enclosure What are the objects and the aspect of comparison in the sentence 'What is the difference between a hard drive and an external hard drive?' What are the objects and the aspect of comparison in the sentence 'Why do we have speed limits?' Objects:'speed limits','speed range' Aspect:
Are the hands that help better than the lips that pray ?	hands that help	lips that pray	better	'brains female', 'brains Objects: 'hands that help', 'lips that pray' Aspect: help What are the objects and the aspect of comparison in the sentence 'What is the difference between literal and symbolic dreams?' Objects: 'literal dreams','symbolic dreams' Aspect: difference Between better    
Is is better to take the day train or night train from Kuala Lumpur to Singapore ?	day train from Kuala Lumpur to Singapore	night train from Kuala Lumpur to Singapore	better	'brains female', 'brains Objects: 'day train', 'night train' Aspect: better  Objects: 'day train', 'night train' Aspect: better : Objects: 'day train', 'night train' Aspect: better:' and the aspect of?? ? 
What is the difference between air conditioner and air condiotner bypass ?	air conditioner	air condiotner bypass	-	'brains female', 'brains Objects: 'air conditioner', 'air conditioner bypass' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between air conditioner and air conditioner bypass?'?', 'air conditioner bypass'?, 'air conditioner bypass'?
would you rather be burned to death or get molested by your dad ?	burned to death	get molested by your dad	-	'brains female', 'brains Objects: 'burned','molested by your dad' Aspect: molested by your dad What are the objects and the aspect of comparison in the sentence 'would you rather be burned to death or get molested by your dad?'? '?'? '?'? '?'? '?'? 
What is WWW2.How is it different from WWW ( World wide Web ) in terms of technology and use . ?	WWW2.How	WWW (	technology and use	', '' Objects: 'WWW2', 'World wide web' Aspect: technology and use What are the objects and the aspect of comparison in the sentence 'How is it different from the WWW?', 'How is it different from the WWW?', 'How is it different from the WWW?', speed  '?
What is the difference between an Asset Manager and a Hedge Fund ?	Asset Manager	Hedge Fund	-	'brains female', 'brains Objects: 'Asset Manager', 'Hedge Fund' Aspect: different What are the objects and the aspect of comparison in the sentence 'What is the difference between a hedge fund and an asset manager?'? Objects: 'asset manager', 'hedge fund' Aspect: difference Between two types of investments?'?
should you eat ... then exercise or should you exercise ... then eat ?	eat ... then exercise	exercise ... then eat	-	', 'brains female' Aspect: different from Objects: 'either', 'exercise' Aspect: exercise  Objects: 'eat', 'exercise' Aspect: exerciseObjects: 'eat', 'exercise' Aspect: exercise What are the objects, and and and  ? 
Why delivery terms differ in some Oil magazines ? Whats the difference between usual FOB and FOB Ex-refinery / storage ? Why the cost of these two differes ?	FOB	FOB Ex-refinery / storage	-	'How can you tell the difference between literal and symbolic dreams?' Aspect: difference Aspect: Aspect: difference What are the objects and the aspect of comparison in the sentence 'Why do some Oil magazines have different delivery terms?' What are the objects and the aspect of comparison in the sentence 'Why do some Oil magazines have different' Aspect:,,,,?? ''
what is the same between USA goverment and rome empire ?	USA goverment	rome empire	-	'brains female', 'brains Objects: 'USA goverment', 'rome empire' Aspect: same What are the objects and the aspect of comparison in the sentence 'is the USA empire the same as the rome empire?' Objects: 'USA goverment', 'rome empire' Aspect: same, same, same   '
Do girls like having their breast rubbed or kissed ?	breast rubbed	breast kissed	like	'brains female', 'brains Objects: 'no', 'no' Aspect: girls like having their breast rubbed or kissed  Objects: 'no', 'no' Aspect: girls like having their breast rubbed or kissed ', 'no':Objects: 'literal dreams','s
what is the difference between a B-777 - 200 and the new B787 - 900 ?	B-777 - 200	B787 - 900	-	'brains female', 'brains male' Aspect: different Aspect: different What are the objects and the aspect of comparison in the sentence 'What is the difference between a B-777 - 200 and the new B787 - 900?'? Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between a B-777 - 200
what are brazilian slates like and are they better than chinese ?	brazilian slates	slates chinese	better	'brains female', 'brains Objects: 'brazilian slates', 'chinese' Aspect: better than chinese What are the objects and the aspect of comparison in the sentence 'What are' Objects: 'are they Aspect: better than chinese What are the objects and the aspect of comparison' and and and?
What is the main difference between Procedural Due Process and Substantial Due Process ?	Procedural Due Process	Substantial Due Process	-	'brains female', 'brains Objects: 'Procedural Due Process', 'Substantial Due Process' Aspect: substantial Objects: 'Procedural Due Process', 'Substantial Due Process' Aspect: substantial Aspect: substantial What are the objects and the aspect of comparison''?'?? '
"Will China be a better "" Big brother of the world "" than the US ?"	China	US	Big brother of the world	'brains female', 'brains Objects: 'China', 'US' Aspect: China vs US What are the objects and the aspect of comparison in the sentence 'Why is China the world's largest economy?' Objects: 'China', 'US' Aspect: China    ', better than  
What is the difference between Paint Shop Pro and Photo Shop ?	Paint Shop Pro	Photo Shop	-	'brains female', 'brains Objects: 'Photo Shop Pro', 'Photo Shop' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between Paint Shop Pro and Photo Shop?'?' Objects: 'Photo Shop', 'Photo Shop' Aspect: difference
What is the difference between a flatscreen and a plasma screen tv ?	flatscreen tv	plasma screen tv	-	'brains female', 'brains Objects: 'flatscreen', 'plasma screen' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between a flatscreen and plasma screen tv?'? Objects: 'flatscreen', 'plasma screen' Aspect: difference What are the objects and the aspect of comparison in the
Do women want to have childeren more than men ?	women	men	want to have childeren	'brains female', 'brains Objects: 'yes', 'no' Aspect: women want to have childeren more than men What are the objects and the aspect of comparison in the sentence 'Do women want to have childeren more than men?', 'yes'? Aspect: men More than women More than men Aspect: more than men What are the objects and the aspect
can anybody name the differences between the high schools in india and america ?	high schools india	high schools america	-	'brains female', 'brains Objects: 'high schools in india', 'america' Aspect: differences What are the objects and the aspect of comparison in the sentence 'What are the differences between the high schools in india and america?'? Aspect: differences What are the objects and the aspect of comparison in the sentence
What is the difference between a Jew and a Jahova 's Wittness ?	Jew	Jahova 's Wittness	-	'brains female', 'brains Objects: 'Jew', 'Jahova's Wittness' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between a Jew and a Jahova's Wittness?'?
When buidling a website , should I create the pages with layers or tables ?	layers	tables	pages	', 'brains female' Aspect: different from Objects: 'layers', 'tables' Aspect: tables What are the objects and the aspect of comparison in the sentence 'How do you know if you are creating the pages with layers or tables?',, Objects: 'layers',, and and and?,? 
Why does low intensity excercise burn fat better than high intensity excercise ?	low intensity excercise	excercise high intensity	burn fat better	'brains female', 'brains Objects: 'low intensity excercise', 'high intensity excercise' Aspect: fat Objects: 'low intensity', 'high intensity' Aspect: fat Objects: 'low intensity', 'high intensity' Aspect: fat' and and and? ?
are vegitarians healthier than meat eaters ?	vegitarians	meat eaters	healthier	'brains female', 'brains Objects:'vegitarians','meat eaters' Aspect: healthier than meat eaters What are the objects and the aspect of comparison in the sentence 'are vegetarians healthier than meat eaters?'? Objects:'vegetarians','meat eaters' Aspect: healthier than  better
Is there any real difference between Similac and Enfamil formulas ?	Similac formulas	Enfamil formulas	-	' Objects: 'Similac', 'Enfamil' Aspect: real difference What are the objects and the aspect of comparison in the sentence 'What is the difference between Similac and Enfamil?'? Aspect: difference What are the objects and the aspect of comparison in the sentence 'Why do we have speed limits?' Objects:'speed limits','speed range
do u like rihanna or shakira ?	rihanna	shakira	like	'brains female', 'brains Objects: 'rihanna','shakira' Aspect: rihanna What are the objects and the aspect of comparison in the sentence 'Do you like rihanna or shakira?'? Objects: 'rihanna','shakira' Aspect: likes r
why a relatively larger amount of energy is required to break the bond symmetrically than assymetrically ?	symmetrically	assymetrically	amount of energy	'brains female', 'brains Objects: 'assymetrically', 'asymetrically' Aspect: energy Aspect: symmetry, asymetrically What are the objects and the aspect of comparison in the sentence 'Why do we have Aspect: energy,, and and and,, '? better than than
"What is the difference between "" religion "" and "" spirituality "" ?"	religion	spirituality	-	"brains female', 'brains Objects:'religion','spirituality' Aspect: spirituality What are the objects and the aspect of comparison in the sentence 'What is the difference between "" religion "" and "" spirituality ""?'? Objects:'religion','spirituality' Aspect: religion Differences between religion and spiritual"
what is the difference between granite and marble any ?	granite	marble	-	'brains female', 'brains Objects: 'granite','marble' Aspect: any What are the objects and the aspect of comparison in the sentence 'What is the difference between granite and marble?'? Objects: 'granite','marble' Aspect: difference
Do you think that black people dance better than white people ?	black people	white people	dance	'brains female', 'brains Objects: 'dance better', 'dance better' Aspect: dance better What are the objects and the aspect of comparison in the sentence 'Do you think that black people dance better than white people?', '', Objects: 'black', 'white' Aspect: street and and and?
Why are premium Cars & Bikes less fuel efficient than Economy Cars & Bikes ?	premium Cars & Bikes	Economy Cars & Bikes	fuel efficient	'brains female', 'brains male' Aspect: different from Objects: 'fuel efficient', 'premium' Aspect: fuel efficient What are the objects and the aspect of comparison in the sentence 'Why are premium Cars & Bikes less fuel efficient than Economy Cars & Bikes?'?  'A better  more 
What is the difference between server program & client program ?	server program	client program	-	'brains female', 'brains Objects:'server program', 'client program' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between server program & client program?'?' Objects:'server program', 'client program' Aspect: difference
What is the difference between ADHD and Dyslexia ? Are they both consider learning disabilities ?	ADHD	Dyslexia	-	'brains female', 'brains Objects: 'ADHD', 'Dyslexia' Aspect: learning disabilities What are the objects and the aspect of comparison in the sentence 'What is the difference between'' Objects: 'ADHD', 'Dyslexia' Aspect:''?'?' '
"Do you perfer "" rock and roll "" style ( concert shirts , holey jeans , goatees ) or metrosexuals ( polo shirts or button up 's , khakis , clean shaven ) ?"	""" rock and roll "" style"	metrosexuals	-	' Objects: 'rock and roll ','metrosexuals' Aspect: rock and roll's Objects: 'rock and roll ','Objects: 'rock and roll ','metrosexuals' Aspect: rock and roll What are the objects and the aspect of comparison' and?'?? '?
Do you prefer brunettes or blondes ?	brunettes	blondes	-	'brains female', 'brains Objects: 'blondes', 'blondes' Aspect: blondes What are the objects and the aspect of comparison in the sentence 'Do you prefer brunettes or blondes?' Objects: 'blondes', 'blondes' Aspect: blondes What are the objects and the aspect of comparison in the sentence 'Do
Why is Java less efficient than say C++ ?	Java	C++	efficient	'brains female', 'brains Objects: 'Java', 'C++' Aspect: less efficient What are the objects and the aspect of comparison in the sentence 'Why is Java less efficient than say C++?'? Aspect: less efficient Objects: 'java', 'c++' Aspect: less efficient? 'A better
what is the difference between leg spin bowle and off spin bowler ?	leg spin bowle	off spin bowler	-	'brains female', 'brains Objects: 'leg spin bowler', 'off spin bowler' Aspect: leg spin bowler What are the objects and the aspect of comparison in the sentence 'What is the difference between leg spin bowler and off spin bowler?'? Objects: 'leg spin bowler','   '?
Why do some stores ( like WalMart ) have MUCH better return policies than , say , Best Buy ?	WalMart	Best Buy	return policies	'brains female', 'brains Objects: 'Best Buy', 'Best Buy' Aspect: better What are the objects and the aspect of comparison in the sentence 'Why do some stores have' Objects: 'Best Buy', Aspect: better What are the objects and the aspect of comparison in the sentence'' and and? ?
what is worse receeding or going grey ?	receeding	going grey	worse	brains female', 'brains Objects:'recessing', 'going grey' Aspect: going grey What are the objects and the aspect of comparison in the sentence 'What is worse receding or going grey?'?' Objects: 'going grey','recessing' Aspect: greying What are the objects and the aspect of comparison in the sentence '
what is the difference between steam turbine and gas turbine ?	steam turbine	gas turbine	-	' Objects:'steam turbine', 'gas turbine' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between a steam turbine and a gas turbine?'?' What are the objects and the aspect of comparison in the sentence 'What is the difference between a steam turbine and gas turbine?'?
What are the differences between little girls and boys ?	girls	boys	-	'brains female', 'brains Objects: 'little girls', 'boys' Aspect: differences What are the objects and the aspect of comparison in the sentence 'What are the differences between little girls and boys?'? Objects: 'little girls', 'little boys' Aspect: differences
Should I go to Happy Hour with my coworkers or go home and clean my house ?	Happy Hour with my coworkers	go home and clean my house	-	'brains female', 'brains Objects: 'Happy Hour', 'cleaning' Aspect: happy hour What are the objects and the aspect of comparison in the sentence 'Do you think I should go to Happy Hour or clean my house?'?' Objects: 'go to Happy Hour', 'clean my house' Aspect: happy A?? '
Was chicken guniea related to bird flu ?	chicken guniea	bird flu	related	'brains female', 'brains Objects: 'bird flu', 'chicken' Aspect: bird flu  Objects: 'bird flu', 'chicken' Aspect: bird flu Objects: 'bird flu', 'chicken' Aspect: bird flu Related' and the aspect of?? ?
Do you think its better to date older guys than younger ?	older guys	guys younger	date	'brains female', 'brains Objects: 'older guys', 'younger guys' Aspect: younger guys vs older guys?' Objects: 'older guys', 'younger guys' Aspect: younger guys vs older guys What are the objects and the aspect of comparison in the sentence
Where they fairy cakes or jaffa cakes ?	fairy cakes	jaffa cakes	-	'brains female', 'brains Objects: 'fairy cakes', 'jaffa cakes' Aspect: cakes What are the objects and the aspect of comparison in the sentence 'Where are they' Objects: 'fairy cakes', 'jaffa cakes' Aspect:' and the aspect of and and? ? 
Can you compare who among these two Hollywood celebrities ( Hilary Duff or Lindsay Lohan ) is : 1 ) Prettier 2 ) Kind 3 ) Popular 4 ) Sexy 5 ) Rich I would appreciate it if you give me your reason why do u choose or not choose her from above given description .	Hilary Duff	Lindsay Lohan	Prettier Kind Popular Sexy Rich	'Who is better?' Objects: 'Hillary Duff', 'Lindsay Lohan' Aspect: different from' Objects: 'Prettier', 'Sexy' Aspect:'' Aspect: Prettier What are the objects and the aspect of comparison in the sentence''''? ' 
why are girl fights more itneresting to fight than guy fights ?	girl fights	guy fights	itneresting	'brains female', 'brains' Objects: 'girl fights', 'guy fights' Aspect: girl fights more interesting than guy fights?', 'girl fights' Aspect: girl fights more interesting than guy fights?', 'girl fights' Aspect: girl fights more interesting than guy fights?
what is better car or boat ?	car	boat	better	', 'brains female' Aspect: different from Objects: 'car', 'boat' Aspect: better car What are the objects and the aspect of comparison in the sentence 'What is better car or boat?'?', ',, 'car or boat' Aspect: better What are the objects, and and and,? 
How are sex cells different from body cells ?	sex cells	body cells	-	'brains female', 'brains Objects:'sex cells', 'body cells' Aspect: body cells What are the objects and the aspect of comparison in the sentence 'How are sex cells different from body cells?'? Objects:'sex cells', 'body cells' Aspect: body cells What are the objects and the aspect of comparison in the sentence '
What is a better option : Lumeneers or Veneers ?	Lumeneers	Veneers	better option	'brains female', 'brains Objects: 'Lumineers', 'Veneers' Aspect: better option What are the objects and the aspect of comparison in the sentence 'What is better : Lumeneers or Veneers?' Objects: 'Lumineers', 'Veneers' Aspect: better option : better option: better option:
should i get glasses or contact lenses ?	glasses	contact lenses	-	'brains female', 'brains Objects: 'glasses', 'contact lenses' Aspect: glasses What are the objects and the aspect of comparison in the sentence'should i get glasses or contact lenses?'? Objects: 'glasses', 'contact lenses' Aspect: glasses,  'A better than than
Is there any way to find out difference between inherited zircon and orginal magmatic zircon ?	inherited zircon	orginal magmatic zircon	-	' Objects: 'inherited zircon', 'orginal magmatic zircon' Aspect: difference What are the objects and the aspect of comparison in the sentence 'Is there any way to find out difference between orginal magmatic zircon and orginal zircon?'? Aspect: difference Between literal  'A A   '
