sentence	obj-1	obj-2	aspect	t5_fewshot
What is the difference between DVD-R and DVD+R ?	DVD-R	DVD+R	-	as Objects: 'DVD-R', 'DVD+R' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between DVD-R and
Why is it easier to get planning permission for brownfield sites rather than greenfield ?	brownfield sites	sites greenfield	planning permission	' Objects: 'brownfield', 'greenfield' Aspect: easier  Objects: 'brownfield', 'greenfield' Aspect: easierObjects
Are yahoo maps or google maps better ?	yahoo maps	google maps	better	purchasing a Objects: 'yahoo maps', 'google maps' Aspect: better  Objects:'maps','maps' Aspect: better 
do u like extroverts or introverts ?	extroverts	introverts	-	' Objects: 'introverts', 'introverts' Aspect: introverts Objects: 'introverts', 'introverts'
What are the differences between Democracy vs Dictatorship ?	Democracy	Dictatorship	-	sometimes Objects: 'Democratic vs Dictatorship', 'Democratic' Aspect: Democracy Objects: 'Democratic', 'Democratic' Aspect:
Is it cheaper to buy cosmetics from the airport than the city ?	airport	city	cheaper	' Objects: 'from the airport', 'from the city' Aspect: cheaper  Objects: 'from the airport', 'from the city' Aspect: 
what place is the best virgin islands or Hawaii ?	virgin islands	Hawaii	best	sometimes Objects: 'where is the best virgin islands or Hawaii?', 'where is the best virgin islands or Hawaii?' Aspect: Hawaii What are the objects and the aspect of comparison in the
what is the difference between sterling silver and platinum besides the price ?	sterling silver	platinum	-	' Objects:'silver', 'platinum' Aspect: price What are the objects and the aspect of comparison in the sentence 'What is the difference between sterling silver and platinum 
are boules and petanque the same game ?	boules	petanque	-	' Objects: 'petanque', 'boules' Aspect: boules What are the objects and the aspect of comparison in the sentence 'are boules and petanque the same game
is a family med graduate as efficient as a medicine one ?	family med graduate	medicine	efficient	sometimes more than ) as purchasing a hard disc copy?'? What are the objects and the aspect of comparison in the sentence 'Why do digital copies of movies / video games / music cost just as much ( sometimes
what is the difference between ATA and SATA hard disks	ATA hard disks	SATA hard disks	-	sometimes more than?' Aspect: Objects: 'ATA', 'SATA' Aspect: SATA What are the objects and the aspect of comparison in the sentence 'What is the difference between
Who should be impeached , bush or clinton ? ?	bush	clinton	impeached	'Objects: 'bush', 'clinton' Aspect: bush or clinton Objects: 'bush', 'clinton' Aspect: bushObjects
Who would win cowboys or falcons for the superbowl ? ?	cowboys superbowl	falcons superbowl	win	' Objects: 'cowboys', 'falcons' Aspect: cowboys What are the objects and the aspect of comparison in the sentence 'Who would win the superbowl
Is light blue jeans nicer or dark blue ones ? ( suppose they're of the same design and cut ) ?	light blue jeans	jeans dark blue	nicer	' Objects: 'nicer', 'dark blue jeans' Aspect: nicer What are the objects and the aspect of comparison in the sentence 'Is a light blue jeans nicer
what are the best ' hold me in ' knickers or underware ?	knickers	underware	-	' Objects: 'underware', 'underwear' Aspect: underware What are the objects and the aspect of comparison in the sentence 'What are the best'hold me in '
Why is the ocean water denser than fresh water ?	ocean water	fresh water	denser	' Objects: 'ocean water', 'fresh water' Aspect: denser What are the objects and the aspect of comparison in the sentence 'Why is the ocean water denser
What is the difference between a transsexual and a hermaphrodite ?	transsexual	hermaphrodite	-	' Objects: 'transsexual', 'hermaphrodite' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between a transsexual
why is american english different than british english when the british colonised this country ?	american english	british english	-	' Objects: 'american english', 'british english' Aspect: english Objects: 'american english', 'british english' Aspect: english
Is that true , LCD monitor has lower radiation than tradition CRT monitor ?	LCD monitor	CRT monitor	radiation	' Objects: 'LCD monitor', 'CRT monitor' Aspect: radiation Objects: 'LCD monitor', 'traditional CRT monitor' Aspect: radiation
are cat lice and human lice the same ?	cat lice	human lice	-	' Objects: 'cat lice', 'human lice' Aspect: human lice What are the objects and the aspect of comparison in the sentence 'are cat lice and human lice the same?'
What is the difference between the molar heat of reaction and heat of reaction ?	molar heat of reaction	heat of reaction	-	as much as purchasing a Objects:'molar heat of reaction', 'heat of reaction' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the
What is the correct direction to sleep , N-S or E-W. Any links regarding this topic would be good . ?	direction to sleep N-S	direction to sleep E-W.	correct	' Objects: 'N-S', 'E-W' Aspect: N-S or E-W What are the objects and the aspect of comparison in the sentence 'What is the correct
what is the difference between white spirit and turps substitute ?	white spirit	turps substitute	-	sometimes more than, as purchasing a Objects: 'white spirit', 'turps substitute' Aspect: white spirit What are the objects and the aspect of comparison in the sentence 'What is the
Who do you prefer ? ? ? Billie Joe Armstrong or Davey Havok	Billie Joe Armstrong	Davey Havok	-	'buying a' Objects: 'Billie Joe Armstrong', 'Davey Havok' Aspect: Billie Joe Armstrong What are the objects and the aspect of
What are the differences between the DNS and the AlterNic ?	DNS	AlterNic	-	sometimes more than, as purchasing a Objects: 'DNS', 'AlternNic' Aspect: DNS What are the objects and the aspect of comparison in the sentence 'What are the
Can someone tell me which console is going to be better ? Xbox 360 or Ps3 ?	Xbox 360	Ps3	better	' Objects: 'Xbox 360', 'Ps3' Aspect: better  Objects: 'Xbox 360', 'Ps3' Aspect: better
what is the difference between trance and phunk music ?	trance music	phunk music	-	' Objects: 'trance', 'phunk' Aspect: trance What are the objects and the aspect of comparison in the sentence 'What is the difference between trance and
Shall i invest in yahoo or google . Please don't answer me invest in both . ?	yahoo	google	invest	' Objects: 'yahoo', 'google' Aspect: invest in both. Objects: 'invest in yahoo', 'invest in google' Aspect:
Is there a difference between a manufacturer 's external hard drive and the hard drives with enclosure ?	manufacturer 's external hard drive	hard drives with enclosure	-	a hard disc copy?' Objects: 'hard disc copy', 'hard disc' Aspect: Objects: 'hard drive', 'enclosure' Aspect: enclosure
Are the hands that help better than the lips that pray ?	hands that help	lips that pray	better	' Objects: 'hands', 'pray' Aspect: help What are the objects and the aspect of comparison in the sentence 'Does a smile make you feel better than 
Is is better to take the day train or night train from Kuala Lumpur to Singapore ?	day train from Kuala Lumpur to Singapore	night train from Kuala Lumpur to Singapore	better	' Objects: 'day train', 'night train' Aspect: day train  Objects: 'day train', 'night train' Aspect: day train What are the
What is the difference between air conditioner and air condiotner bypass ?	air conditioner	air condiotner bypass	-	' Objects: 'air conditioner', 'air condiotner bypass' Aspect: air conditioner bypass What are the objects and the aspect of comparison in the sentence 'What is the difference
would you rather be burned to death or get molested by your dad ?	burned to death	get molested by your dad	-	a Objects: 'burned','molested' Aspect: molested by your dad What are the objects and the aspect of comparison in the sentence 'would you rather be
What is WWW2.How is it different from WWW ( World wide Web ) in terms of technology and use . ?	WWW2.How	WWW (	technology and use	' Objects: 'WWW2', 'World wide web' Aspect: technology and use  Objects: 'WWW2', 'World wide web' A
What is the difference between an Asset Manager and a Hedge Fund ?	Asset Manager	Hedge Fund	-	sometimes Objects: 'Asset Manager', 'Hedge Fund' Aspect: different What are the objects and the aspect of comparison in the sentence 'What is the difference between an Asset Manager and 
should you eat ... then exercise or should you exercise ... then eat ?	eat ... then exercise	exercise ... then eat	-	' Objects: 'eat', 'exercise' Aspect: exercise What are the objects and the aspect of comparison in the sentence'should you eat... then exercise... or should
Why delivery terms differ in some Oil magazines ? Whats the difference between usual FOB and FOB Ex-refinery / storage ? Why the cost of these two differes ?	FOB	FOB Ex-refinery / storage	-	' Objects:'FOB', 'ex-refinery' Aspect: delivery terms What are the objects and the aspect of comparison in the sentence 'Why the delivery terms differ in some Oil
what is the same between USA goverment and rome empire ?	USA goverment	rome empire	-	' Objects: 'USA goverment', 'rome empire' Aspect: same What are the objects and the aspect of comparison in the sentence 'is the same between USA goverment and 
Do girls like having their breast rubbed or kissed ?	breast rubbed	breast kissed	like	' Objects: 'rubbed', 'kissed' Aspect: girls like having their breast rubbed or kissed  Objects: 'rubbed', '
what is the difference between a B-777 - 200 and the new B787 - 900 ?	B-777 - 200	B787 - 900	-	'buying a Objects: 'b-777 - 200', 'b787 - 900' Aspect: difference What are the objects and the aspect of comparison in the sentence 
what are brazilian slates like and are they better than chinese ?	brazilian slates	slates chinese	better	' Objects: 'brazilian slates', 'chinese' Aspect: better than chinese What are the objects and the aspect of comparison in the sentence 'are chi
What is the main difference between Procedural Due Process and Substantial Due Process ?	Procedural Due Process	Substantial Due Process	-	sometimes more than?' Objects: 'digital copies','Objects: 'procedural due process','substantial due process' Aspect: substantiveObject
"Will China be a better "" Big brother of the world "" than the US ?"	China	US	Big brother of the world	' Objects: 'China', 'Big brother of the world' Aspect: China  Objects: 'China', 'Big brother of the world' Aspect: China
What is the difference between Paint Shop Pro and Photo Shop ?	Paint Shop Pro	Photo Shop	-	as Objects: 'Photo Shop Pro', 'Photo Shop' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between Paint Shop Pro and Photo Shop 
What is the difference between a flatscreen and a plasma screen tv ?	flatscreen tv	plasma screen tv	-	' Objects: 'flatscreen', 'plasma screen' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between a flatscreen and 
Do women want to have childeren more than men ?	women	men	want to have childeren	' Objects:'more than','more than' Aspect: more than What are the objects and the aspect of comparison in the sentence 'Do women want to have childeren more than men
can anybody name the differences between the high schools in india and america ?	high schools india	high schools america	-	' Objects: 'high schools in india', 'america' Aspect: differences What are the objects and the aspect of comparison in the sentence 'What are the' Objects: '
What is the difference between a Jew and a Jahova 's Wittness ?	Jew	Jahova 's Wittness	-	' Objects: 'Jew', 'Jahova's Wittness' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between 
When buidling a website , should I create the pages with layers or tables ?	layers	tables	pages	' Objects: 'layers', 'tables' Aspect: tables What are the objects and the aspect of comparison in the sentence 'Do you think a website should have layers?'
Why does low intensity excercise burn fat better than high intensity excercise ?	low intensity excercise	excercise high intensity	burn fat better	' Objects: 'low intensity excercise', 'high intensity excercise' Aspect: fat burn Better Objects: 'low intensity excercise', 
are vegitarians healthier than meat eaters ?	vegitarians	meat eaters	healthier	' Objects:'vegitarians','meat eaters' Aspect: healthier than meat eaters Objects:'vegitarians','meat eater
Is there any real difference between Similac and Enfamil formulas ?	Similac formulas	Enfamil formulas	-	' Objects: 'Similac', 'Enfamil' Aspect: real difference What are the objects and the aspect of comparison in the sentence 'What is the difference between Similac
do u like rihanna or shakira ?	rihanna	shakira	like	' Objects: 'rihanna','shakira' Aspect: rihanna What are the objects and the aspect of comparison in the sentence 'do u
why a relatively larger amount of energy is required to break the bond symmetrically than assymetrically ?	symmetrically	assymetrically	amount of energy	' Objects: 'assymetrically', 'asymetrically' Aspect: energy What are the objects and the aspect of comparison in the sentence 'why does a 
"What is the difference between "" religion "" and "" spirituality "" ?"	religion	spirituality	-	"' Objects:'religion','spirituality' Aspect: spirituality What are the objects and the aspect of comparison in the sentence 'What is the difference between """
what is the difference between granite and marble any ?	granite	marble	-	' Objects: 'granite','marble' Aspect: difference What are the objects and the aspect of comparison in the sentence 'is there any Objects: 'granite
Do you think that black people dance better than white people ?	black people	white people	dance	' Objects: 'dance better', 'dance' Aspect: dance better What are the objects and the aspect of comparison in the sentence 'Do you think that black people dance better than white
Why are premium Cars & Bikes less fuel efficient than Economy Cars & Bikes ?	premium Cars & Bikes	Economy Cars & Bikes	fuel efficient	' Objects: 'fuel efficient', 'premium' Aspect: fuel efficient What are the objects and the aspect of comparison in the sentence 'Why are Economy Cars & Bikes less
What is the difference between server program & client program ?	server program	client program	-	as Objects:'server program', 'client program' Aspect: server program What are the objects and the aspect of comparison in the sentence 'What is the difference between server program & client program 
What is the difference between ADHD and Dyslexia ? Are they both consider learning disabilities ?	ADHD	Dyslexia	-	purchasing a Objects: 'ADHD', 'dyslexia' Aspect: learning disabilities'Objects: 'ADHD', 'dyslexia
"Do you perfer "" rock and roll "" style ( concert shirts , holey jeans , goatees ) or metrosexuals ( polo shirts or button up 's , khakis , clean shaven ) ?"	""" rock and roll "" style"	metrosexuals	-	or Objects: 'rock and roll ','metasexuals' Aspect: rock and roll's Objects: 'rock and roll ','Object
Do you prefer brunettes or blondes ?	brunettes	blondes	-	as Objects: 'blondes', 'blondes' Aspect: blondes What are the objects and the aspect of comparison in the sentence 'Do you prefer brunettes or blondes?
Why is Java less efficient than say C++ ?	Java	C++	efficient	sometimes Objects: 'Java', 'C++' Aspect: less efficient What are the objects and the aspect of comparison in the sentence 'Why is Java less efficient than say C++?'
what is the difference between leg spin bowle and off spin bowler ?	leg spin bowle	off spin bowler	-	' Objects: 'leg spin bowler', 'off spin bowler' Aspect: leg spin bowler What are the objects and the aspect of comparison in the sentence 'What is the difference between
Why do some stores ( like WalMart ) have MUCH better return policies than , say , Best Buy ?	WalMart	Best Buy	return policies	sometimes Objects: 'Best Buy', 'Best Buy' Aspect: better What are the objects and the aspect of comparison in the sentence 'Why do some stores have MUCH better return policies than,
what is worse receeding or going grey ?	receeding	going grey	worse	as Objects:'recessing', 'going grey' Aspect: greying What are the objects and the aspect of comparison in the sentence 'What is worse receeding or going grey
what is the difference between steam turbine and gas turbine ?	steam turbine	gas turbine	-	' Objects:'steam turbine', 'gas turbine' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between steam turbine and gas turbine 
What are the differences between little girls and boys ?	girls	boys	-	' Objects: 'little girls', 'boys' Aspect: differences What are the objects and the aspect of comparison in the sentence 'What are the differences between little girls and boys?'
Should I go to Happy Hour with my coworkers or go home and clean my house ?	Happy Hour with my coworkers	go home and clean my house	-	' Objects: 'Happy Hour', 'cleaning' Aspect: clean What are the objects and the aspect of comparison in the sentence 'Do I go to Happy Hour or clean my house?
Was chicken guniea related to bird flu ?	chicken guniea	bird flu	related	' Objects: 'bird flu', 'chicken' Aspect: bird flu  Objects: 'bird flu', 'chicken' Aspect: bird flu Object
Do you think its better to date older guys than younger ?	older guys	guys younger	date	' Objects: 'older guys', 'younger' Aspect: younger guys What are the objects and the aspect of comparison in the sentence 'Is it better to date older guys than younger
Where they fairy cakes or jaffa cakes ?	fairy cakes	jaffa cakes	-	purchasing a Objects: 'fairy cakes', 'jaffa' Aspect: fairy cakes What are the objects and the aspect of comparison in the sentence 'Where are they' Objects
Can you compare who among these two Hollywood celebrities ( Hilary Duff or Lindsay Lohan ) is : 1 ) Prettier 2 ) Kind 3 ) Popular 4 ) Sexy 5 ) Rich I would appreciate it if you give me your reason why do u choose or not choose her from above given description .	Hilary Duff	Lindsay Lohan	Prettier Kind Popular Sexy Rich	' Objects: 'prettier','sexy' Aspect: prettier Why do you choose or not choose her from above given description?'? Aspect: rich Why do
why are girl fights more itneresting to fight than guy fights ?	girl fights	guy fights	itneresting	sometimes Objects: 'girl fights', 'fight' Aspect: itneresting  Objects: 'girl fights', 'fight' Aspect: Objects
what is better car or boat ?	car	boat	better	as Objects: 'car', 'boat' Aspect: better What are the objects and the aspect of comparison in the sentence 'which is better car?' or 'which is better boat 
How are sex cells different from body cells ?	sex cells	body cells	-	' Objects:'sex cells', 'body cells' Aspect: body cells What are the objects and the aspect of comparison in the sentence 'How are sex cells different from body cells
What is a better option : Lumeneers or Veneers ?	Lumeneers	Veneers	better option	' Objects: 'lumeneers','veneers' Aspect: better ? ','Objects: 'lumeneers', 
should i get glasses or contact lenses ?	glasses	contact lenses	-	as Objects: 'glasses', 'contact lenses' Aspect: glasses What are the objects and the aspect of comparison in the sentence'should i get glasses or contact lenses?'?
Is there any way to find out difference between inherited zircon and orginal magmatic zircon ?	inherited zircon	orginal magmatic zircon	-	' Objects: 'inherited zircon', 'orginal magmatic zircon' Aspect: difference What are the objects and the aspect of comparison in the sentence 'Is there any way
Why is it better going to Mindanao Island than visiting Boracay ?	Mindanao Island	Boracay	-	' Objects: 'Moracay', 'Boracay' Aspect: better  Objects: 'Moracay', 'Bora
Why are Mexicans under the illusion they are better than the USA at soccer ?	Mexicans	USA	better soccer	' Objects: 'Mexico', 'Mexico' Aspect: better  Objects: 'Mexico', 'USA' Aspect: Mexico Object
What is the difference between a newt and a salamander ?	newt	salamander	-	' Objects: 'newt','salamander' Aspect: salamander What are the objects and the aspect of comparison in the sentence 'What is the difference between a new
Is there really that much of a difference between generic drugs and the brand version ? ? ? ? ( See below ) ?	generic drugs	brand version	-	'Objects: 'generic drugs', 'brand version' Aspect: generic drugs????????????
Why does a lemonade taste better with soda than plain water ?	lemonade soda	lemonade plain water	taste	' Objects:'soda','soda' Aspect: soda What are the objects and the aspect of comparison in the sentence 'Why does a lemonade taste
Who is better , Dwayne or Lebron ?	Dwayne	Lebron	-	'Objects: 'Dwayne', 'Lebron' Aspect: better Objects: 'Dwayne', 'Lebron' Aspect: betterObjects
who is going to win the chelsea vs liverpool game ?	chelsea	liverpool	-	' Objects: 'chelsea', 'liverpool' Aspect: chelsea vs liverpool' Objects: 'chelsea',
Is japanese medical science better than american medical science ? Is american technology better ? ... need opinions pls ......	japanese medical science	american medical science	better	'Objects: 'technology','medicine' Aspect: technology Better?... need opinions pls......'? Objects: 'technology','medicine' Aspect:
What would u rather buy an Ipod or Ipod Nano ?	Ipod	Ipod Nano	buy	as Objects: 'Ipod', 'ipod Nano' Aspect: Ipod Nano What are the objects and the aspect of comparison in the sentence 'Would you rather buy an Ipod or
Do comps . damage the eyes more than the TV ? WHY ?	comps	TV	damage the eyes	'buying a Objects: 'comps', 'TV' Aspect: damage What are the objects and the aspect of comparison in the sentence 'Do comps damage the eyes more than the
Why do pro-lifers tend to be more violent than pro-choicers ?	pro-lifers	pro-choicers	violent	' Objects: 'pro-lifers', 'choice' Aspect: violent What are the objects and the aspect of comparison in the sentence 'Why do pro-lifers tend to
What is the difference between chat rooms and forums ( if any ) ?	chat rooms	forums	-	sometimes more than, as purchasing a Objects: 'chat rooms', 'forums' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between chat
do actions speaks louder than words ? why ?	actions	words	speaks	as Objects: 'do actions speaks louder than words? why?', 'actions' Aspect: actions Objects: 'actions', 'words'
Should I rent or buy a home in California ?	rent home	buy home	-	as Objects:'rent', 'buy' Aspect: rent What are the objects and the aspect of comparison in the sentence 'Should I rent or buy a home in California?'
Who will win the big game Ohio State or Michigan ?	Ohio State	Michigan	win	purchasing a Objects: 'Ohio State', 'Michigan' Aspect: Ohio State What are the objects and the aspect of comparison in the sentence 'Who will win the big game Ohio
Is Love really the most powerful feeling in this world or Hate is actually what can control and evntually destroy us ?	Love	Hate	-	' Objects: 'Love', 'Hate' Aspect: Love What are the objects and the aspect of comparison in the sentence 'Is Love really the most powerful feeling in this world or Hat
Is Blockbuster DVD delivery as fast as Netflix ?	Blockbuster DVD	Netflix	-	purchasing a Objects: 'blockbuster DVD delivery', 'Netflix' Aspect: Netflix What are the objects and the aspect of comparison in the sentence 'Is Netflix as fast as Block
Who is better : Zico or Romario ?	Zico	Romario	-	'Objects: 'Zico', 'Romario' Aspect: better  Objects: 'Zico', 'Romario' Aspect: better
Are gays and lesbians more productive at work than heterosexual people ?	gays and lesbians	heterosexual	productive	' Objects: 'gays and lesbians', 'heterosexual' Aspect: productive Are gays and lesbians more productive at work than heterosexual people?'
What is healthier , masochism or sadism ?	masochism	sadism	healthier	'Objects:'sadism','sadism' Aspect: sadism What are the objects and the aspect of comparison in the sentence 'What is healthier,
what are the negitives and positives of gambling .... like do you earn more money or lose more ?	earn	lose	gambling	' Objects:'money', 'loss' Aspect: money What are the objects and the aspect of comparison in the sentence 'Do you gamble?','do you
Do liberals help this country more than Patriots and why ?	liberals	Patriots	help	sometimes more than, as purchasing a Objects: 'liberals', 'patriots' Aspect: Patriots Why Objects: 'Patriots', 'Liber
Why are 1 way plane tickets more expensive than round trip ususally and why are saturday stays cheaper ?	1 way plane tickets	round trip	expensive	' Objects: '1 way plane tickets', 'round trip' Aspect: cheaper Why are saturday stays cheaper than saturday stays?' and 'Why are weekend stays
do u prefer redheads or blondes for a girl ?	redheads	blondes	prefer	' Objects:'redheads', 'blondes' Aspect: blondes What are the objects and the aspect of comparison in the sentence 'do you prefer blondes or redhead
what is true love ? whats the difference between love and infatuation ... ?	love	infatuation	-	' Objects: 'true love', 'infatuation' Aspect: love, infatuation What are the objects and the aspect of comparison in the sentence 'What is true love
what is the most popular form of showing affection , hug or kiss ?	hug	kiss	showing affection	' Objects: 'hugs', 'hands' Aspect: affection What are the objects and the aspect of comparison in the sentence 'what is the most popular form of showing affection, hug or
How does the American system of democracy work In what way it is different from India 's form of democracy ?	American system of democracy	India 's form of democracy	-	' Objects: 'American system of democracy', 'India' Aspect: democracy How does the American system of democracy work? In what way it is different from India's form of democracy 
why do more girl wear brace than boys ?	girl	boys	wear brace	sometimes Objects: 'brace', 'boys' Aspect: brace Why do more girl wear brace than boys?', 'Why do more girl wear brace than boys?
What exactly is the difference between split leather and top grade leather ?	split leather	top grade leather	-	' Objects:'split leather', 'top grade leather' Aspect: leather Objects:'split leather', 'top grade leather' Aspect: leather
Are atheists happier than Christians ?	atheists	Christians	happier	a Objects: 'Christians', 'Christians' Aspect: happier  Objects: 'Christians', 'Christians' Aspect: happier Objects:
Do you think you get better deals on EBAY than a reg . dept store ?	EBAY	reg . dept store	better deals	' Objects: 'EBAY','reg dep store' Aspect: better deals What are the objects and the aspect of comparison in the sentence 'Do you think you get better deals on
Do you like skater shoes or converse better ?	skater shoes	converse	-	' Objects:'skater shoes', 'converse' Aspect: converse What are the objects and the aspect of comparison in the sentence 'Do you like skater shoes or convers
What is the difference between DELL computer and Compaq computers ?	DELL computer	Compaq computers	-	sometimes Objects: 'DELL computer', 'compaq' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between DELL computer and Compa
Should i buy xbox 360 or ps3 ?	xbox 360	ps3	-	' Objects: 'xbox 360', 'ps3' Aspect: ps3 What are the objects and the aspect of comparison in the sentence 'Should i buy 
Should i do B.COM or B.B.A ?	B.COM	B.B.A	-	sometimes Objects: 'B.COM', 'B.B.A' Aspect: B.COM What are the objects and the aspect of comparison in the sentence 'Should i do B
Why hate is more powerful than love ?	hate	love	powerful	a Objects: 'hate', 'love' Aspect: hate is more powerful than love What are the objects and the aspect of comparison in the sentence 'Why hate is more powerful than love
Are hydrolysis reactions equal to condensation reactions ?	hydrolysis reactions	condensation reactions	-	as much as purchasing a Objects: 'hydrolysis reactions', 'condensation' Aspect: hydrolysis reactions Objects: 'hydrolysis reactions', 'con
Why do liberals fear Bush more than Iran ?	liberals	Iran	fear	' Objects: 'liberals fear Bush more than Iran ', 'Iran' Aspect: fear Bush What are the objects and the aspect of comparison in the sentence 'Why do liberals fear
Who do u think is better looking Hilary Duff or Lindsay Lohan ? and why do u think that ?	Hilary Duff	Lindsay Lohan	better looking	'buying a Objects: 'Hilary Duff', 'Lindsay Lohan' Aspect: better looking Who are the objects and the aspect of comparison in the sentence '
who do you think is the WORSE ? Sadam OR Bush ?	Sadam	Bush	WORSE	sometimes more than?' Aspect:Objects: 'Saddam', 'Bush' Aspect: WORSE? Sadam OR Bush?' Objects: 'Sadd
What Is The Difference Between Business Administraion and business Management ?	Business Administraion	business Management	-	as Objects: 'business Administration', 'business Management' Aspect: management What are the objects and the aspect of comparison in the sentence 'What Is The Difference Between Business Administration and business Management?
is mainland europe diesel different from uk diesel ?	mainland europe diesel	uk diesel	-	' Objects: 'is mainland europe diesel different from uk diesel', 'uk diesel' Aspect: diesel different What are the objects and the aspect of comparison in the sentence 'is a
Who is better Orlando Bloom or Tom Cruise ?	Orlando Bloom	Tom Cruise	better	as Objects: 'Orlando Bloom', 'Tom Cruise' Aspect: better Objects: 'Orlando Bloom', 'Tom Cruise' Aspect: better
Who will win the State of Origin ? QLD or NSW ?	QLD	NSW	-	' Objects: 'QLD', 'NSW' Aspect: NSW Who will win the State of Origin? QLD or NSW?'? 'QLD or NSW'? 
who is the superior race BLACKS or whites ?	BLACKS	whites	superior	a Objects: 'blacks', 'whites' Aspect: superior race  Objects: 'blacks', 'whites' Aspect: superior race Object
why individual chromosomes are more difficult to see during interphase than during mitosis ?	chromosomes interphase	chromosomes mitosis	see	' Objects: 'interphase','mitosis' Aspect: interphase What are the objects and the aspect of comparison in the sentence 'why do chromosomes get smaller
What is a good brand of creatine ? Pill or Powder ? I was thinking of taking Cell-Tech but it seems to be loaded with suger !	Pill	Powder	brand	'Cell-Tech' Aspect: Objects: 'Creatine', 'Powder' Aspect: loaded with suger What are the objects and the aspect of comparison in the sentence 
what are some differences between yahoo and firefox ? good and bad ?	yahoo	firefox	differences	' Objects: 'good and bad', 'good' Aspect: good and bad What are the objects and the aspect of comparison in the sentence 'What are some differences between yahoo and firefox
what is the best way to ask a guy out by a note or asking them in person ?	note	in person	best way	' Objects: 'note', 'in person' Aspect: best way What are the objects and the aspect of comparison in the sentence 'is a guy out by a note or asking them
What is better MySpace or Tagworld ?	MySpace	Tagworld	better	as Objects: 'MySpace', 'Tagworld' Aspect: better What are the objects and the aspect of comparison in the sentence 'What is better MySpace or Tagworld?'?'
Is emotional cheating worse than physical affair ?	emotional cheating	physical affair	worse	' Objects: 'emotional cheating', 'physical affair' Aspect: physical affair What are the objects and the aspect of comparison in the sentence 'Is emotional cheating worse than physical
Who is better George W Bush or Bill Clinton ?	George W Bush	Bill Clinton	better	sometimes more than?' Aspect:Objects: 'George W Bush', 'Bill Clinton' Aspect: better Objects: 'George W Bush', 'Bill Clinton'
Do black women like white men better than black menb ?	white men	black menb	like	' Objects: 'white men', 'black women' Aspect: white men better What are the objects and the aspect of comparison in the sentence 'Do black women like white men better than black men
What is the difference between International premieres and World Premieres ?	International premieres	World Premieres	-	' Objects: 'International premieres', 'World Premieres' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between International premieres and
Why does Coke make me have to pee so much more than tea does ? ?	Coke	tea	pee	' Objects: 'coke', 'tea' Aspect: tea What are the objects and the aspect of comparison in the sentence 'Why does Coke make me have to pee so
Who is better ? Sachin Or Sewag ? ? ?	Sachin	Sewag	-	'buying aObjects: 'Sachin Or Sewag', 'Sewag' Aspect: SachinObjects: 'Sachin', 'Sewag'
Is a DORK --- B E T T E R --- than a JURK ? ? ?	DORK	JURK	T	purchasing a Objects: 'B E T T E R --- than a DORK --- B E T T E R --- than a JURK?' Aspect: better 
"What is the difference between "" la nina "" and "" el nino "" ?"	la nina	el nino	-	' Objects: 'la nina', 'el nino' Aspect: difference What are the objects and the aspect of comparison in the sentence 'What is the difference between
Why is being in a public School better than being Home Schooled ?	being in a public School	being Home Schooled	better	' Objects: 'public School', 'home school' Aspect: better  Objects: 'public School', 'home school' Aspect: better Objects:
Do you prefer Kool-Aid or Soda and why ?	Kool-Aid	Soda	prefer	as Objects: 'Kool-Aid', 'Soda' Aspect: Soda What are the objects and the aspect of comparison in the sentence 'Do you prefer Co
Why do you prefer to live in the dark rather than The Light ?	live the dark	live The Light	prefer	purchasing a Objects: 'The Dark', 'The Light' Aspect: The Light What are the objects and the aspect of comparison in the sentence 'Do you prefer to live in the dark rather than
What alcohol is stronger Moonshine or everclear ?	alcohol Moonshine	alcohol everclear	stronger	purchasing a Objects: 'Moonshine', 'everclear' Aspect: stronger Objects: 'everyclear', 'Moonshin
Are moonbeams better than sunshine ?	moonbeams	sunshine	better	' Objects:'sunbeams','sun' Aspect: sunshine What are the objects and the aspect of comparison in the sentence 'Are moonbeams better than sunshine
Are human beings more aggressive than animals ?	human beings	animals	aggressive	a Objects: 'human beings', 'animals' Aspect: animals more aggressive What are the objects and the aspect of comparison in the sentence 'Are humans more aggressive than animals?
what do u think is better ? xanga or myspace ? ? ?	xanga	myspace	better	'buying aObjects: 'xanga','myspace' Aspect: better??????? ???
what is the difference between having bipolar i and bipolar 2 ? ?	bipolar i	bipolar 2	-	'buying aObjects: 'bipolar i', 'bipolar 2' Aspect: bipolar i What are the objects and the aspect of comparison in the sentence 'What
Who is better , Madonna or Cher ?	Madonna	Cher	better	'Objects: 'Madonna', 'Cher' Aspect: better Objects: 'Madonna', 'Cher' Aspect: better Object
