sentence	obj-1	obj-2	aspect	flant5xl_fewshot
Is there really that much of a difference between generic drugs and the brand version ? ? ? ? ( See below ) ?	generic drugs	brand version	-	Objects: generic drugs, brand version Aspect: difference
Why does a lemonade taste better with soda than plain water ?	lemonade soda	lemonade plain water	taste	Objects: lemonade, soda, water Aspect: better
Who is better , Dwayne or Lebron ?	Dwayne	Lebron	-	Objects: 'Dwayne', 'Lebron' Aspect: better
who is going to win the chelsea vs liverpool game ?	chelsea	liverpool	-	chelsea, liverpool Aspect: game
Is japanese medical science better than american medical science ? Is american technology better ? ... need opinions pls ......	japanese medical science	american medical science	better	Objects: medical science, technology Aspect: better
What would u rather buy an Ipod or Ipod Nano ?	Ipod	Ipod Nano	buy	Objects: ipod, ipod nano Aspect: buy
Do comps . damage the eyes more than the TV ? WHY ?	comps	TV	damage the eyes	Objects: comps., TV Aspect: damage
Why do pro-lifers tend to be more violent than pro-choicers ?	pro-lifers	pro-choicers	violent	Objects: pro-lifers, pro-choicers Aspect: violent
What is the difference between chat rooms and forums ( if any ) ?	chat rooms	forums	-	Objects: chat rooms, forums Aspect: difference
do actions speaks louder than words ? why ?	actions	words	speaks	Objects: actions, words Aspect: louder
Should I rent or buy a home in California ?	rent home	buy home	-	Objects: 'buy a home in California ','rent a home in California'Aspect: buy
Who will win the big game Ohio State or Michigan ?	Ohio State	Michigan	win	Objects: 'Ohio State', 'Michigan' Aspect: game
Is Love really the most powerful feeling in this world or Hate is actually what can control and evntually destroy us ?	Love	Hate	-	Objects: 'Love', 'Hate' Aspect: powerful
Is Blockbuster DVD delivery as fast as Netflix ?	Blockbuster DVD	Netflix	-	Objects: Blockbuster DVD, Netflix Aspect: fast
Who is better : Zico or Romario ?	Zico	Romario	-	Objects: Zico, Romario Aspect: better
Are gays and lesbians more productive at work than heterosexual people ?	gays and lesbians	heterosexual	productive	Objects: gays, heterosexual people Aspect: productive
What is healthier , masochism or sadism ?	masochism	sadism	healthier	masochism, sadism Aspect: healthier
what are the negitives and positives of gambling .... like do you earn more money or lose more ?	earn	lose	gambling	Objects: negitives, positives Aspect: negatives, positives
Do liberals help this country more than Patriots and why ?	liberals	Patriots	help	Objects: liberals, Patriots Aspect: help
Why are 1 way plane tickets more expensive than round trip ususally and why are saturday stays cheaper ?	1 way plane tickets	round trip	expensive	Objects: '1 way plane tickets', 'round trip','saturday stays' Aspect: cheaper
do u prefer redheads or blondes for a girl ?	redheads	blondes	prefer	blonds, redheads Aspect: prefer
what is true love ? whats the difference between love and infatuation ... ?	love	infatuation	-	Objects: 'love', 'infatuation' Aspect: difference
what is the most popular form of showing affection , hug or kiss ?	hug	kiss	showing affection	Objects: hug, kiss Aspect: form
How does the American system of democracy work In what way it is different from India 's form of democracy ?	American system of democracy	India 's form of democracy	-	Objects: 'American system of democracy', 'India's form of democracy' Aspect: different
why do more girl wear brace than boys ?	girl	boys	wear brace	Objects: brace, boys Aspect: wear
What exactly is the difference between split leather and top grade leather ?	split leather	top grade leather	-	Objects: split leather, top grade leather Aspect: difference
Are atheists happier than Christians ?	atheists	Christians	happier	Objects: atheists, Christians Aspect: happier
Do you think you get better deals on EBAY than a reg . dept store ?	EBAY	reg . dept store	better deals	EBAY, reg. dept store Aspect: deals
Do you like skater shoes or converse better ?	skater shoes	converse	-	Objects: converse, skater shoes Aspect: like
What is the difference between DELL computer and Compaq computers ?	DELL computer	Compaq computers	-	Objects: 'Compaq computers', 'DELL computer' Aspect: difference
Should i buy xbox 360 or ps3 ?	xbox 360	ps3	-	xbox 360, ps3 Aspect: buy
Should i do B.COM or B.B.A ?	B.COM	B.B.A	-	Objects: 'B.COM', 'B.B.A' Aspect: should
Why hate is more powerful than love ?	hate	love	powerful	Objects: hate, love Aspect: powerful
Are hydrolysis reactions equal to condensation reactions ?	hydrolysis reactions	condensation reactions	-	Objects: hydrolysis reactions, condensation reactions Aspect: equal
Why do liberals fear Bush more than Iran ?	liberals	Iran	fear	Objects: 'Bush', 'Iran' Aspect: fear
Who do u think is better looking Hilary Duff or Lindsay Lohan ? and why do u think that ?	Hilary Duff	Lindsay Lohan	better looking	Objects: 'Hilary Duff', 'Lindsay Lohan' Aspect: looking
who do you think is the WORSE ? Sadam OR Bush ?	Sadam	Bush	WORSE	Objects: 'Sadam', 'Bush' Aspect: worse
What Is The Difference Between Business Administraion and business Management ?	Business Administraion	business Management	-	Objects: business administration, business management Aspect: difference
is mainland europe diesel different from uk diesel ?	mainland europe diesel	uk diesel	-	europe diesel, uk diesel Aspect: different
Who is better Orlando Bloom or Tom Cruise ?	Orlando Bloom	Tom Cruise	better	Objects: Orlando Bloom, Tom Cruise Aspect: better
Who will win the State of Origin ? QLD or NSW ?	QLD	NSW	-	Objects: 'QLD', 'NSW' Aspect: win
who is the superior race BLACKS or whites ?	BLACKS	whites	superior	Objects: 'blacks', 'whites' Aspect: superior
why individual chromosomes are more difficult to see during interphase than during mitosis ?	chromosomes interphase	chromosomes mitosis	see	chromosomes, interphase, mitosis Aspect: difficult
What is a good brand of creatine ? Pill or Powder ? I was thinking of taking Cell-Tech but it seems to be loaded with suger !	Pill	Powder	brand	Objects: creatine, Powder, Cell-Tech Aspect: brand
what are some differences between yahoo and firefox ? good and bad ?	yahoo	firefox	differences	yahoo, firefox Aspect: good, bad
what is the best way to ask a guy out by a note or asking them in person ?	note	in person	best way	a note, asking them in person Aspect: ask
What is better MySpace or Tagworld ?	MySpace	Tagworld	better	Objects: 'MySpace', 'Tagworld' Aspect: better
Is emotional cheating worse than physical affair ?	emotional cheating	physical affair	worse	Objects: emotional cheating, physical affair Aspect: worse
Who is better George W Bush or Bill Clinton ?	George W Bush	Bill Clinton	better	Objects: 'George W Bush', 'Bill Clinton' Aspect: better
Do black women like white men better than black menb ?	white men	black menb	like	Objects: 'black women', 'white men', 'black menb' Aspect: like
What is the difference between International premieres and World Premieres ?	International premieres	World Premieres	-	Objects: 'International premieres', 'World Premieres' Aspect: difference
Why does Coke make me have to pee so much more than tea does ? ?	Coke	tea	pee	Objects: tea, Coke Aspect: pee
Who is better ? Sachin Or Sewag ? ? ?	Sachin	Sewag	-	sachin, swag Aspect: better
Is a DORK --- B E T T E R --- than a JURK ? ? ?	DORK	JURK	T	Objects: 'Jurk', 'Dork' Aspect: better
"What is the difference between "" la nina "" and "" el nino "" ?"	la nina	el nino	-	Objects: 'la nina', 'el nino' Aspect: difference
Why is being in a public School better than being Home Schooled ?	being in a public School	being Home Schooled	better	Objects: 'public School', 'Home Schooled' Aspect: better
Do you prefer Kool-Aid or Soda and why ?	Kool-Aid	Soda	prefer	Objects: 'Kool-Aid', 'Soda' Aspect: prefer
Why do you prefer to live in the dark rather than The Light ?	live the dark	live The Light	prefer	Objects: dark, Light Aspect: prefer
What alcohol is stronger Moonshine or everclear ?	alcohol Moonshine	alcohol everclear	stronger	Objects: 'Moonshine', 'Everclear' Aspect: stronger
Are moonbeams better than sunshine ?	moonbeams	sunshine	better	Objects: moonbeams, sunshine Aspect: better
Are human beings more aggressive than animals ?	human beings	animals	aggressive	Objects: human beings, animals Aspect: aggressive
what do u think is better ? xanga or myspace ? ? ?	xanga	myspace	better	xanga, myspace Aspect: better
what is the difference between having bipolar i and bipolar 2 ? ?	bipolar i	bipolar 2	-	i, bipolar 2 Aspect: difference
Who is better , Madonna or Cher ?	Madonna	Cher	better	Objects: 'Madonna', 'Cheryl' Aspect: better
What is the difference between vanilla extract and pure vanilla ?	vanilla extract	pure vanilla	-	Objects: vanilla extract, pure vanilla Aspect: difference
Why is it easier to do a standing back flip than a standing front flip ?	back flip	front flip	easier	Objects:'standing back flip','standing front flip' Aspect: easier
is Howard Stern 's show on Sirius any good ? Better or worse than the clear channel version ?	show Sirius	show clear channel version	Better or worse	Objects:'show', 'Sirius', 'clear channel' Aspect: better
What is the difference between TTL and CMOS ?	TTL	CMOS	-	CMOS, TTL Aspect: difference
who is the better rapper t.i or lil flip and who looks better ?	t.i	lil flip	-	t.i, lil flip Aspect: rapper
Who is a funnier comedian : Kevin James or Ray Ramono ?	comedian Kevin James	comedian Ray Ramono	funnier	Objects: 'Kevin James', 'Ray Ramono' Aspect: comedian
Why are dogs worse pets than cats ? ?	dogs	cats	worse pets	Objects: 'dogs', 'cats' Aspect: worse
who likes sex better guys or girls ?	guys	girls	likes sex	sex, guys, girls Aspect: likes
how does IRS sefine a trade / business vs. investment ?	trade / business	investment	sefine	a trade / business, investment Aspect: sefine
Who will be better Michael Jordan or Kobe Bryant ? Why ?	Michael Jordan	Kobe Bryant	better	Objects: 'Michael Jordan ', 'Kobe Bryant'Aspect: better
Does bitter gourd contain cholesterol or does it reduces cholesterol in the body ?	contain cholesterol	reduces cholesterol	-	Objects: bitter gourd, cholesterol Aspect: contain
Why it costs less to make steel in Asia than in Europe ?	Asia	Europe	costs less to make steel	Objects: 'Europe ', 'Asia ', 'costs less to make steel' Aspect: cost
Why is it more easier to fall in love with someone online than in real life ?	online	in real life	easier to fall in love	Objects: fall in love, online, real life
Is the Texas Flag supposed to be positioned higher than the USA Flag ?	Texas Flag	USA Flag	positioned	Objects: flag, USA, Texas Aspect: flag, USA
what is beter xbox or playstation2 ?	xbox	playstation2	beter	xbox, playstation2 Aspect: beter
Why might warehouse costs be lower for a business in Antwerp or Lille than Dover ?	warehouse Antwerp or Lille	warehouse Dover	-	Objects: Antwerp, Lille, Dover Aspect: warehouse costs
Who was the better wrestler , Bruno Sammartino or Ric Flair ?	wrestler Bruno Sammartino	wrestler Ric Flair	better	Objects: 'Bruno Sammartino', 'Ric Flair' Aspect: wrestler
"Can anyone explain the difference between "" poppers "" and "" ecstacy "" ?"	poppers	ecstacy	-	Objects: 'poppers', 'ecstacy' Aspect: difference
what is the difference between apis mellifera & apis cerana ?	apis mellifera	apis cerana	-	apis mellifera, apis cerana Aspect: difference
who is most handsome salman khan or hrithik roshan ?	salman khan	hrithik roshan	handsome	hrithik roshan, salman khan Aspect: handsome
is my best friend caitlin or brittany ?	caitlin	brittany	-	brittany, caitlin Aspect: friend
What is the difference between science and science fiction ?	science	science fiction	-	Objects: science, science fiction Aspect: difference
Who would win in a fight : Gwar or Slipknot ?	Gwar	Slipknot	win	Objects: 'Gwar', 'Slipknot' Aspect: win
is it better to makeout or have sex ?	makeout	have sex	better	sex, makeout Aspect: better
How many orgasms can a female vs male do in a 24 hour period . I know the answer but I am just checking ! ?	female	male	orgasms	a female, male Aspect: orgasms
Is an all wheel drive vehicle as good on gas as a 2 wheel drive ?	all wheel drive vehicle	2 wheel drive	gas	Objects: vehicle, 2 wheel drive Aspect: good on gas
who do you think is the best bruce lee or jet li ?	bruce lee	jet li	best	bruce lee, jet li Aspect: best
"Why can guys have sex with a lot of girls and be "" Cool "" , but when girls do the same , they are whores ? ? ?"	guys	girls	-	sex with a lot of girls, whores
Should I keep or quit my job and how should I quit ?	keep job	quit job	-	Objects: keep, quit Aspect: keep, quit
Who sings better ? Jesse Mc Cartney or Zac Efron ?	Jesse Mc Cartney	Zac Efron	sings	Objects: 'Jesse Mc Cartney', 'Zac Efron' Aspect: sings
Who is better , Lindsay Lohan or Hillary Duff in terms of their acting ability . ?	Lindsay Lohan	Hillary Duff	acting ability	Objects: 'Lindsay Lohan', 'Hillary Duff' Aspect: acting
is mcafee or avg which anti virus protects system better ?	mcafee	avg	protects	mcafee, avg Aspect: protects system
Who would you prefer Angelina Jolie or Jennifer Aneston ?	Angelina Jolie	Jennifer Aneston	-	Objects: Angelina Jolie, Jennifer Aneston Aspect: prefer
what is asperger 's syndrome and how is different from bi-polar disorder typer 1 ?	asperger 's syndrome	bi-polar disorder typer 1	-	'asperger's syndrome', 'bi-polar disorder typer 1' Aspect: different
Wouldn't you rather have your kids and their friends drunk in your house than out on the street ?	in your house	on the street	kids drunk	Objects: 'in your house', 'on the street' Aspect: kids drunk
who is the better band my chemical romance or panic at the disco . ?	my chemical romance	panic at the disco	better	Objects:'my chemical romance', 'panic at the disco' Aspect: band
Who is better at football popular more Tom Brady or Steve Smith ?	Tom Brady	Steve Smith	better at football	Objects: 'Tom Brady', 'Steve Smith' Aspect: better at football
Who is a better team Clippers or Lakers ?	Clippers	Lakers	better	Objects: Clippers, Lakers Aspect: team
what is the difference between naturist and nudist ?	naturist	nudist	-	naturist, nudist Aspect: difference
Why does Abercrombie cost so much more than Aeropostale ?	Abercrombie	Aeropostale	cost	Objects: Abercrombie, Aeropostale Aspect: cost
what is the difference between a caskett and coffin ?	caskett	coffin	-	Objects: caskett, coffin Aspect: difference
what is the difference between policy and procedure ?	policy	procedure	-	Objects: policy, procedure Aspect: difference
what are in cigars and what makes them different from cigarettes ?	cigars	cigarettes	-	cigarette, cigars Aspect: different
what is the difference between an ipod & mp3 player ?	ipod	mp3 player	-	ipod, mp3 player Aspect: difference
Who do you think is better , britney spears or hilary duff and why ?	britney spears	hilary duff	better	britney spears, hilary duff Aspect: better
what is the difference between a supervisor and a leader ?	supervisor	leader	-	Objects:'supervisor', 'leader' Aspect: difference
What do you feel is the more appropriate term - Latino or Hispanic and why ?	Latino	Hispanic	appropriate	Objects: Latino, Hispanic Aspect: appropriate
Should I get a gym membership or bowflex ?	gym membership	bowflex	-	Objects: membership, bowflex Aspect: membership
Do you like watching movies or playing video games . Which movie 's your favorite or which video game do you love ?	watching movies	playing video games	like	Objects: 'video game', 'video game' Aspect: love
who is hotter paul walker or vin diesel ?	paul walker	vin diesel	hotter	Objects: paul walker, vin diesel Aspect: hotter
What is the difference between a motel and hotel going on a trip want best ?	motel	hotel	-	Objects: motel, hotel Aspect: difference
what is the difference between a home equity loan and refinancing with a cash out ?	home equity loan	refinancing with a cash out	-	a home equity loan, refinancing with a cash out Aspect: difference
What stinks worse Fart or Burp ?	Fart	Burp	stinks	Objects: fart, burp Aspect: stinks
Should I stay or should I leave him ?	stay	leave	-	Objects: stay, leave Aspect: stay
do women make a lot of money there . More or less money than stripping at regular bar ?	there stripping	stripping regular bar	money	Objects: money, stripping at regular bar Aspect: money
why do guys make better friends than women ?	guys	women	make better friends	Objects: 'friends', 'women' Aspect: make
who participted more deeply in yahoo answers girls or boys ?	girls	boys	participted more deeply in yahoo answers	yahoo answers, girls Aspect: participated
Do cold air masses have higher or lower air pressure than warm air masses and why ?	cold air masses	warm air masses	air pressure	Objects: cold air masses, air pressure Aspect: higher, lower
shall we feel comfrtable inlove marriage than arranged marriage ?	inlove marriage	arranged marriage	feel comfrtable	arranged marriage, inlove marriage Aspect: arranged
Why is a foundry pattern larger than the part it is designed to produce ?	foundry pattern	part it is designed to produce	larger	a foundry pattern, part Aspect: larger
why is hatred more stronger than love ?	hatred	love	stronger	Objects: hatred, love Aspect: stronger
Who would win in a fight , Superman ( Pre-Crisis ) or Goku ( Super Saiyan 4 ) ?	Superman	Goku	win in a fight	Objects: Superman ( Pre-Crisis ), Goku ( Super Saiyan 4 ) Aspect: fight
What is the difference between the Presidents list and Deans list at College ?	Presidents list	Deans list	-	Objects: list, difference
who lies the most women or men ?	women	men	lies	Objects: 'women','men' Aspect: lies
Who will win , iran or israel , if there is a war ?	iran	israel	win	iran, israel Aspect: win
Will it make any difference if I purchase a laptop from the manufacturer ( like Dell or Apple ) or from a retailer ( like Best Buy or Circuit City ) ?	purchase a laptop from the manufacturer	purchase a laptop from a retailer	-	Objects: Dell, Apple, Best Buy, Circuit City Aspect: retailer
what is the difference between angaina pectoris and myocardial infarction ?	angaina pectoris	myocardial infarction	-	Objects: angaina pectoris, myocardial infarction Aspect: difference
Who is better , Quantine Terrantino or Stephen King ?	Quantine Terrantino	Stephen King	better	Objects: 'Quantine Terrantino', 'Stephen King' Aspect: better
What do women do better than men ?	women	men	do	Objects: 'do','men' Aspect: do
Why are townhomes priced considerably lower than single family homes ?	townhomes	single family homes	priced	Objects: 'townhomes','single family homes' Aspect: lower
Do you prefer Dallas or Austin , TX ?	Dallas	Austin	prefer	Objects: Dallas, Austin Aspect: prefer
who do you like better ashely tisdale or Miley ?	ashely tisdale	Miley	like	Objects: 'Ashley Tisdale', 'Miley' Aspect: like
when playing a game , are you a better winner or loser ?	winner	loser	-	Objects: 'game ', 'winner', 'loser' Aspect: winner, loser
what is the difference between Catholics and Episcopalians ?	Catholics	Episcopalians	-	Objects: 'Catholics', 'Episcopalians' Aspect: difference
"What is the difference between "" then "" and "" than "" ?"	then	than	-	Objects: 'then', 'than' Aspect: difference
Do women sense things stronger than men ?	women	men	sense things	Objects: women, men Aspect: sense
What is the difference between mythology ( each and every ) and christianity ?	mythology	christianity	-	christianity, mythology Aspect: difference
what is the difference between a fruit and vegatable ?	fruit	vegatable	-	vegatable, fruit Aspect: difference
what is the difference between SIV and HIV ?	SIV	HIV	-	Objects: 'SIV', 'HIV' Aspect: difference
Is anisotropic better than trilinear ?	anisotropic	trilinear	better	Objects: anisotropic, trilinear Aspect: better
are girls better arguers than boys ?	girls	boys	better arguers	Objects: arguers, boys Aspect: better
What are the differences between Slave and Employees ?	Slave	Employees	-	Objects: 'Slave', 'Employees' Aspect: differences
what is the difference between vb.net and asp.net ?	vb.net	asp.net	difference	vb.net, asp.net Aspect: difference
what is difference between ipod and mp 3 player ?	ipod	mp 3 player	difference	ipod, mp 3 player Aspect: difference
Why are fans crazier at football games than basketball games ?	fans football games	fans basketball games	crazier	Objects: football games, basketball games Aspect: crazier
Do you generally open gifts on Christmas Eve or Christmas Day ? ( if you celebrate Christmas that is ) . ?	Christmas Eve	Christmas Day	open	Objects: Christmas Eve, Christmas Day Aspect: open
Do older houses have as much value as newer ones when they are upgraded ?	older houses upgraded	houses newer	value	Objects: older houses, value
Is the plural fish or fishes ?	fish	fishes	plural	Objects: 'fish', 'fishes' Aspect: plural
what marker dries out faster rose art or crayola markers ?	marker rose art	marker crayola	dries out	crayola markers, rose art Aspect: dries out
What is the difference between genes and alleles ?	genes	alleles	difference	Objects: genes, alleles Aspect: difference
Who is sexier ? Brandon or Jannes ?	Brandon	Jannes	sexier	Objects: Brandon, Jannes Aspect: sexier
Who was hung better , Hitler or Himmler ?	Hitler	Himmler	hung better	Objects: 'Hitler', 'Himmler' Aspect: hung
who looks better , kyla pratt or raven samone ?	kyla pratt	raven samone	looks better	kyla pratt, raven samone Aspect: looks
who is better ? ? chelsea or barcelona ?	chelsea	barcelona	better	chelsea, barcelona Aspect: better
What is the difference between Diseases and Syndrome ?	Diseases	Syndrome	-	Objects: 'diseases','syndrome' Aspect: difference
what is the difference between Switzerland and Sweden ?	Switzerland	Sweden	-	Objects: 'Switzerland', 'Sweden' Aspect: difference
Who is hotter , Oprah Winfrey or Marty Feldman ?	Oprah Winfrey	Marty Feldman	hotter	Objects: 'Oprah Winfrey', 'Marty Feldman' Aspect: hotter
How can you tell the difference between a female duck and a male duck ?	female duck	male duck	-	Objects: duck, difference
how is SED technology better than LCD ?	SED technology	technology LCD	better	Objects: 'SED technology', 'LCD' Aspect: better
What the difference between American English and British English ? Which is better ?	American English	British English	-	Objects: American English, British English Aspect: better
What is the difference between a Snake and a Serpent ?	Snake	Serpent	-	Objects: Snake, Serpent Aspect: difference
what is the safest why to save leftovers cool them down before the frig or store the food warm in the frig ?	leftovers cool down before	leftovers store warm	safest	Objects: cool them down, store the food warm in the frig
Where would be a good place to have a sweet 16 party in North Myrtle Beach or Myrtle Beach ?	North Myrtle	Myrtle Beach	-	Objects: 'North Myrtle Beach', 'Myrtle Beach' Aspect: good place
WHy is a Apple better tHan a P.C. ?	Apple	P.C.	better	Objects: 'Apple', 'P.C.' Aspect: better
Are jewelleries in Hong Kong cheaper than in Singapore ?	jewelleries Hong Kong	jewelleries Singapore	cheaper	Objects: Hong Kong, Singapore Aspect: cheaper
who should she be with ... morelli or ranger ?	morelli	ranger	-	Objects: morelli, ranger Aspect: with
What is first-degree murder and what is second -degree murder ? Also what is the difference between the two of it ?	first-degree murder	second -degree murder	-	Objects: first-degree murder, second -degree murder Aspect: difference
Who is hotter Jesus or Satan ?	Jesus	Satan	hotter	Objects: Jesus, Satan Aspect: hotter
Who do u think is hotter Jared Padeleki or Jensen Ackles ?	Jared Padeleki	Jensen Ackles	hotter	Objects: 'Jared Padeleki', 'Jensen Ackles' Aspect: hotter
Why are English women better looking than American woman ?	English women	American woman	better looking	Objects: English women, American woman Aspect: looking
who to choose ? guyA or guyB ?	guyA	guyB	-	Objects: guyA, guyB Aspect: choose
what is difference between performace and serviceability ?	performace	serviceability	-	Objects: 'performace','serviceability' Aspect: difference
how many women think that mental abuse is worse than physicalabuse . write back . ?	mental abuse	physicalabuse	worse	Objects: mental abuse, physicalabuse Aspect: worse
what is the difference between transnational corporations and multinational corporations ?	transnational corporations	multinational corporations	-	Objects: transnational corporations, multinational corporations Aspect: difference
"Would you rather go on a cruise ship or have a "" pamper me "" day at home ?"	go on a cruise ship	"have a "" pamper me "" day at home"	-	"Objects: 'go on a cruise ship', 'have a "" pamper me "" day at home'Aspect: go on a cruise ship"
how can i tell if a fabric is rayon or polyester ?	rayon	polyester	-	a fabric, rayon, polyester Aspect: tell
Is it ok to give just as much formula as breastmilk ?	formula	breastmilk	-	Objects: breastmilk, formula Aspect: give
What has picture quality : 720p or 1080i ? Why ?	720p	1080i	-	720p, 1080i Aspect: quality
what is difference between Dams and barrages ?	Dams	barrages	-	Objects: 'Dams', 'Barrages' Aspect: difference
do u think that mothers have more rights than fathers ?	mothers	fathers	rights	Objects: 'rights','mothers' Aspect: more
What are the differences between normal food and organic food ?	normal food	organic food	-	Objects: normal food, organic food Aspect: differences
what name do you like better richard or julio ?	richard	julio	-	julio, richard Aspect: like
How is the LTE internet on my phone faster than my internet at home ?	LTE internet phone	internet home	faster	Objects: internet, phone Aspect: faster
What is the difference between film and digitals dynamic range for motion pictures	film	digitals dynamic range	-	Objects: film, dynamic range, motion pictures
Why does wet hair or eyebrows require far more time to dry than skin ?	wet hair or eyebrows	skin	time to dry	Objects: hair, skin Aspect: time
is the difference between a ' one-tail ' and ' two-tail ' test with regards statistical significance ?	one-tail	two-tail	statistical significance	' one-tail ','two-tail'Aspect: statistical significance
why do freshly bruised fruits taste different than normal ?	freshly bruised fruits	normal	taste	Objects: 'freshly bruised fruits', 'normal' Aspect: taste
What are the main differences between recreation and medicinal marijuana ?	recreation marijuana	medicinal marijuana	-	Objects: marijuana, differences
Why are pickup trucks ' exhaust pipe differently shaped than cars ' ?	pickup trucks exhaust pipe	exhaust pipe cars	shaped	Objects: 'exhaust pipe', 'cars' Aspect: differently shaped
How do CEO 's make so much more than regular employees ?	CEO 's	regular employees	make	Objects: CEO's, regular employees Aspect: more
Why are bumble bees so much louder than wasps , hornets , and yellow jackets when they fly ?	bumble bees	wasps , hornets , and yellow jackets	louder	bumble bees, wasps, hornets, yellow jackets Aspect: fly
Why is it more acceptable for a women to lie than a man ?	women lie	lie man	more acceptable	a women, lie Aspect: lie
Why is it so much worse to have a body-temperature of 36 degrees celsius than to have a 40 degrees celsius fever ?	body-temperature of 36 degrees celsius	40 degrees celsius fever	worse	Objects: body-temperature, 40 degrees celsius fever
why does hair stay wet for so long , unlike skin which does not stay wet ? How was this an evolutionary benefit to cavemen ?	hair	skin	stay wet for so long	Objects: hair, skin Aspect: stay
Why is California so much more expensive in general compared to Texas ?	California	Texas	more expensive	Objects: California, Texas Aspect: compare
Why is diesel more expensive than gasoline , and why has it remained at higher prices recently while the price of gas has gone down ?	diesel	gasoline	more expensive	Objects: diesel, gasoline Aspect: price
Why does food taste slightly different when you reheat in a microwave than freshly cooked	food reheat microwave	food freshly cooked	taste slightly different	reheat, freshly cooked Aspect: different
Why is it bad to eat human meat , ( in terms of autoimmune problems , possibility of transmission of disease , etc . ) compared to eating say beef ?	human meat	beef	-	eat human meat, beef Aspect: bad
Why does Saudi Arabia seemingly have more conservative / reactionary rules / viewpoints than surrounding countries ?	Saudi Arabia	surrounding countries	more conservative / reactionary rules / viewpoints	Objects: Saudi Arabia, surrounding countries Aspect: surrounding
What is the difference between OLED and QLED technology ? Which is better ?	OLED technology	QLED technology	-	Objects: 'OLED', 'QLED' Aspect: better
Why do I find it easier to reverse into a tight perpendicular park than to take it front on ?	reverse tight perpendicular park	tight perpendicular park front on	easier	Objects: park, take it front on Aspect: easier
Do videos that only consist of audio and an image take up more space than the audio and image separately ?	audio	audio image	take up space	Objects: audio, video, audio, image, separately Aspect: space
When we wake up in the morning , why do we crave food so much more than water when we need more water than food ?	food	water	crave	Objects: food, water Aspect: crave
"What is the difference between "" gray "" and "" grey ? """	gray	grey	-	Objects: 'grey', 'gray'Aspect: difference
"is the difference between someone being a "" heavy sleeper "" or "" light sleeper """	heavy sleeper	light sleeper	-	Objects: 'heavy sleeper', 'light sleeper' Aspect: difference
What is the difference between Chapter 11 bankruptcy and Chapter 7 ?	Chapter 11 bankruptcy	bankruptcy Chapter 7	-	Objects: Chapter 11, Chapter 7 Aspect: difference
Why do people answer questions better if they look at a different direction rather than maintaining eye contact with the person ?	look at a different direction	maintaining eye contact	answer questions better	Objects: look, contact, maintain
Would I get the same effect if I drank 5 beers each with an alcohol content of 5 % versus a shot with an alcohol level of 25 % ?	5 beers alcohol content 5 %	shot alcohol level 25 %	effect	drank, beers, alcohol level, shot
What is the difference between hip-hop and rap ?	hip-hop	rap	-	rap, hip-hop Aspect: difference
Why do humans prefer to bathe in warm water rather than cold water and is there any evolutionary advantage ?	warm water	water cold	prefer to bathe	Objects: warm water, cold water Aspect: prefer
Why does a debit card require you to use the chip scanner now rather than swiping it ?	debit card chip scanner	debit card swiping	use	swiping, chip scanner Aspect: swiping
Why do carbonated drinks taste / feel fizzier than drinks in plastic bottles ?	carbonated drinks	drinks in plastic bottles	taste / feel fizzier	Objects: carbonated drinks, plastic bottles Aspect: taste
Why do bones last so much longer than flesh after we die ?	bones	flesh	last	Objects: bones, flesh Aspect: last
"How are "" binned "" CPU 's or GPU 's different from their "" lower-quality "" counterparts ?"	binned CPU 's or GPU 's	CPU 's or GPU 's lower-quality	-	Objects: 'binned', 'lower-quality', 'corespondents' Aspect: different
Why does the front brake on a bike have more stopping power than the back brake ?	front brake bike	bike back brake	stopping power	Objects: front brake, back brake Aspect: power
What is the difference between Alzheimer 's and Dementia ? What are the symptoms and what are the treatment options and how can they kill you ?	Alzheimer	Dementia	-	Objects: Alzheimer's, Dementia Aspect: kill
why do “ overweight ” people tend to snore more than average weighted people ?	overweight people	average weighted people	snore	Objects: overweight, average weighted
Why do dimpled Golf balls fly better / faster / further than smooth ones	dimpled Golf balls	Golf balls smooth	fly	Objects: golf ball, smooth one Aspect: fly
How do we know the difference between sunup and sundown ?	sunup	sundown	-	Objects: sunup, sundown Aspect: know
Why is it easier to stand up and walk around on trains than buses even though trains go faster ?	trains	buses	easier to stand up and walk around	Objects: trains, buses Aspect: easier
"What causes us to feel that certain sounds are "" pleasant "" vs. "" unpleasant "" ? How does our brain make that distinction and why ?"	sounds pleasant	sounds unpleasant	-	Objects:'sounds', 'pleasant', 'unpleasant' Aspect: distinction
Why does exhaling “ hooo ” feel cooler than exhaling “ haaa ” ?	exhaling hooo	exhaling haaa	cooler	Objects: exhaling, cooler
Why are female 's muscles so much smaller than male 's , but have about the same physical capacity ?	female 's muscles	muscles male 's	smaller	Objects: female's muscles, male's Aspect: physical capacity
What is the difference between a vaporizer and a hooka pen ?	vaporizer	hooka pen	-	vaporizer, hooka pen Aspect: difference
Why were dinosaurs in general so much bigger than species that are alive today ?	dinosaurs	species that are alive today	bigger	Objects: dinosaurs, species Aspect: bigger
What factors cause an employer 's market vs. an employee 's market ?	employer 's	employee 's	-	Objects: market, factors Aspect: cause
what is the difference between the old testament and new testament ?	old testament	new testament	-	Objects: old testament, new testament Aspect: difference
